"","DAY","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","Overall_Avg"
"11","13-Jul",89.5251516012084,90.1084276971151,85.1074127560015,77.0036728896007,94.4676031789479,92.0507448478145,77,88.0096394654457,88.3370333918629,84.0377030568324,90.6174316875297,85.9689079114491,93.5796222855154,86.6824369031665,89.0329793811397,96.5121543459683,80.2860764519249,88.0492299749467,91.7687424251864,94.7675237275575,87.7163424681619
"12","14-Jul",90.8284143382302,88.3540801043315,85.6675085433192,72.6743980078414,92.3554005773411,87.7901414911496,82,88.8697362506634,89.8206426705047,82.567350617611,90.9304519504829,85.5628532821161,89.2060550747229,82.9469744212848,89.4999228901489,98.5268948101926,87.9012084948505,81.8331166977468,90.6328598905376,93.9787976230325,86.9416407216642
"13","15-Jul",91.3355710079638,91.9606204605395,85.1396702532825,77.0355037458218,94.376258134704,83.5407622252725,88,85.1949490816522,90.1699922547862,85.2660541800117,90.9873566862859,83.6069873963477,89.5286595684936,86.2798166900558,89.6813663678244,91.2692510516492,88.2501741208008,85.6824153631183,91.6018008056543,92.0677417427462,87.6389934766587
"14","16-Jul",84.4639953960983,93.1277434865028,88.2306380005776,78.5440178100528,94.3317260082676,83.4744021625319,91,87.3065029733086,84.6843280670619,82.7995669022086,90.9977015404058,80.3554861525609,90.2691435909724,87.3059442802657,92.3463269217755,80.9287458312208,88.5411173048857,87.4048790643172,87.3268792798577,90.8089625045343,86.7857660989388
"15","17-Jul",87.6920178921314,93.1149448214881,86.0311357619736,82.676871705258,94.288634825383,85.4970394682099,93,89.4025991212868,83.4587831729927,83.5237789841678,90.9995821572868,84.6937853317135,90.4929407686194,88.5212649739283,88.7348264846155,86.0517605099964,91.1162250094041,88.5671057990826,84.1145275210526,89.6741111597986,87.5503507056907
"16","18-Jul",92.1405133510079,91.0677486501729,87.8563310029063,81.2314878868473,92.1822231732705,88.5617714259061,93,89.2082444701121,83.1974806299602,87.3789271885779,92.6363390415648,88.7259444830074,89.8499887289593,87.2672665043147,86.3043000822422,88.0804119700697,92.4294398843118,91.9662759479317,87.2070615094509,93.6908961170564,88.6395416368793
"17","19-Jul",93.1845175648238,90.7908051730177,89.2217344708105,84.374550926406,98.3381138752982,89.5375761370695,93,89.0408210567087,85.5446517997467,88.7571699531404,92.9338891656202,89.5863532678707,90.9091944536699,82.0195899021921,82.4397298639615,90.1081977140734,92.5243067957819,89.5923401864553,82.9515127413387,93.5274968586879,88.9110298059355
"18","20-Jul",94.2352591870045,90.6753381648228,92.8051134942695,86.1695773451556,101.391888179088,91.5574925628836,93,88.896597086836,83.6994424018734,88.0061033707414,95.4426040495685,88.6799772137224,91.9333227723919,79.0686253878269,87.6317561868667,95.2257901777749,90.2708606226746,91.2732007377194,86.0520470627586,92.595912287237,89.9396711301763
"19","21-Jul",96.5749497698811,91.5477360443576,90.7074506940536,88.2273665000643,100.314492911349,88.361203033291,91,88.7723578716449,86.4841143267698,87.9639739145651,93.4440470939507,86.4255130969974,94.2933585031327,80.0850168462222,89.6866301665673,92.0981061276661,82.2282059344556,88.4585900242286,76.5587192541219,94.0885501191273,89.3151553895684
"20","22-Jul",92.3190141142066,90.5718945629105,90.1714334421236,88.9360191083984,94.0778149837619,85.1733676215924,95,89.8039016718496,87.9241072151326,88.927907206869,93.0807244308306,85.8962152830693,95.8028966390654,83.8139844272336,92.73715316134,93.0951418092324,89.5204205132667,88.4467401411243,82.8257628811346,94.3189264230126,89.6583559470711
